"ID","RA_ICRS","DE_ICRS","plx","pmRA","pmDE","UCC_ID","N_50","r_50","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","C1","C2","C3"
"CWNU 2719",274.59752,-19.35426,0.486,-0.695,-0.063,"UCC G012.0-01.7a",138,4.3,274.599,-19.356,0.486,-0.69,-0.048,-22.418,12,1.0,0.88,"AA"
"CWNU 2480",271.92885,-17.88296,0.639,-1.033,-1.027,"UCC G012.0+01.1",22,5.1,271.944,-17.88,0.648,-1.013,-1.019,-13.246,2,0.36,0.59,"CB"
"OC 0021",274.35775,-19.09049,0.549,0.642,-2.426,"UCC G012.1-01.4",72,3.7,274.349,-19.091,0.554,0.678,-2.411,-26.859,2,0.89,0.86,"AA"
"Ryu 683",275.01302,-19.41635,"nan","nan","nan","UCC G012.1-02.1",62,1.9,275.006,-19.425,0.307,-0.95,-2.762,-14.891,10,0.38,0.33,"CC"
"CWWDL 13293",280.4168,-21.9747,0.66,1.011,-0.669,"UCC G012.1-07.7",59,6.1,280.418,-21.984,0.645,1.017,-0.647,-28.058,24,1.0,0.77,"AA"
"UBC 572",280.417,-21.959,0.647,0.999,-0.63,"UCC G012.1-07.7a",32,6.2,280.416,-21.97,0.65,1.007,-0.659,-26.842,14,0.97,1.0,"AA"
"Ryu 684",268.78757,-16.06418,"nan","nan","nan","UCC G012.2+04.6",0,1.2,268.786,-16.07,0.361,-3.955,-4.462,"nan",0,0.43,0.17,"CD"
"HSC 155",273.89793,-18.75782,0.341,0.065,0.377,"UCC G012.2-00.8",32,6.1,273.904,-18.753,0.341,0.081,0.401,-0.558,5,0.18,0.65,"DB"
"Turner 2",274.2825,-18.9535,"nan","nan","nan","UCC G012.2-01.2",24,6.1,274.263,-18.94,0.347,-0.098,-1.123,"nan",0,0.15,0.67,"DB"
"CWNU 2669",273.86773,-18.69167,0.409,0.88,-0.293,"UCC G012.2-00.8a",25,5.0,273.842,-18.7,0.411,0.873,-0.27,31.119,11,0.43,0.74,"CB"
"FSR 0043;MWSC 2685",266.48108,-14.66022,"nan","nan","nan","UCC G012.2+07.3",24,6.5,266.482,-14.687,0.127,-3.22,-6.627,"nan",0,0.84,0.54,"AB"
"Teutsch 262",274.5243,-18.97548,0.6,0.986,-1.889,"UCC G012.3-01.5",55,5.9,274.516,-18.972,0.601,1.001,-1.903,35.434,3,0.89,0.75,"AB"
"Ryu 685",277.99824,-20.67867,"nan","nan","nan","UCC G012.3-05.1",37,3.5,277.999,-20.674,0.212,-1.808,-4.806,-45.074,1,0.05,0.5,"DB"
"Ryu 686",276.39334,-19.88873,"nan","nan","nan","UCC G012.3-03.4",0,1.0,276.397,-19.883,0.14,-3.332,-6.377,"nan",0,0.23,0.27,"DC"
"Turner 3",274.393,-18.875,0.584,0.474,-2.504,"UCC G012.3-01.3",45,4.8,274.39,-18.89,0.564,0.517,-2.462,"nan",0,0.56,0.76,"BA"
"UPK 5",273.304,-18.308,1.786,0.659,-8.387,"UCC G012.3-00.1",57,22.1,273.281,-18.308,1.764,0.671,-8.437,-5.934,18,0.7,0.64,"BB"
"CWNU 1250",307.468,-30.8242,2.437,3.328,-7.979,"UCC G012.3-33.4",55,57.3,307.39,-30.89,1.791,3.234,-7.917,5.123,8,0.13,0.44,"DC"
"Trumpler 33;Collinder 378;OCL 34;ESO 590 20;MWSC 2910",276.159,-19.711,0.677,0.435,0.449,"UCC G012.3-03.2",158,7.6,276.15,-19.72,0.688,0.512,0.514,-4.359,7,1.0,0.93,"AA"
"MWSC 5715",293.3853,-26.89634,"nan","nan","nan","UCC G012.4-20.5",0,3.8,293.391,-26.896,0.114,-3.277,-6.932,70.523,1,0.22,0.23,"DD"
"Turner4",274.26,-18.721,"nan","nan","nan","UCC G012.4-01.1",0,2.3,274.248,-18.726,0.284,-0.712,-2.623,6.112,2,0.34,0.42,"CC"
"CWNU 2913",274.68532,-18.89258,0.652,-0.212,-1.358,"UCC G012.4-01.6",30,8.1,274.666,-18.868,0.652,-0.234,-1.353,-42.864,1,0.48,0.66,"CB"
"Ryu 202",278.13261,-20.58635,"nan","nan","nan","UCC G012.4-05.2",0,1.1,278.133,-20.586,0.189,-3.067,-5.45,"nan",0,0.27,0.25,"CC"
"Ryu 688",275.65448,-19.36449,"nan","nan","nan","UCC G012.4-02.6",35,1.7,275.651,-19.366,0.154,-2.83,-5.85,90.68,1,0.71,0.41,"BC"
"HSC 156",269.6887,-16.20407,0.588,-0.676,-4.973,"UCC G012.5+03.8",31,8.6,269.703,-16.221,0.606,-0.696,-5.009,11.233,5,0.99,0.78,"AA"
"Dolidze 51",272.599,-17.741,"nan","nan","nan","UCC G012.5+00.6",70,7.4,272.596,-17.739,0.422,-0.382,-2.523,-1.888,5,0.74,0.39,"BC"
"Ryu 689",272.43376,-17.63319,"nan","nan","nan","UCC G012.5+00.8",44,1.9,272.435,-17.629,0.476,0.344,-1.216,-1.888,3,0.16,0.36,"DC"
"Ryu 690",277.81576,-20.26657,"nan","nan","nan","UCC G012.6-04.8",0,1.3,277.814,-20.269,-0.039,-3.082,-5.909,"nan",0,0.17,0.27,"DC"
"Ryu 11",269.37565,-15.88315,"nan","nan","nan","UCC G012.6+04.2",0,1.5,269.374,-15.883,0.257,-2.064,-4.284,97.71,2,0.37,0.25,"CC"
"HSC 158",273.48005,-18.06627,0.329,-0.393,-1.423,"UCC G012.6-00.2",52,5.6,273.437,-18.084,0.319,-0.382,-1.431,13.637,3,0.54,0.78,"BA"
"HSC 159",270.80129,-16.63428,0.56,1.265,0.802,"UCC G012.6+02.7",57,10.9,270.816,-16.63,0.553,1.262,0.807,-2.604,1,1.0,0.63,"AB"
"HSC 160",271.87895,-17.196,0.551,0.268,-2.445,"UCC G012.6+01.5",33,6.1,271.847,-17.224,0.559,0.253,-2.43,-10.013,3,0.59,0.76,"BA"
"Ryu 691",267.94927,-15.04422,"nan","nan","nan","UCC G012.6+05.9",91,3.2,267.938,-15.038,0.28,-1.676,-4.562,-20.396,3,0.14,0.45,"DC"
"UBC 1010",274.49213,-18.54499,0.364,-0.017,-0.495,"UCC G012.6-01.2",76,6.4,274.491,-18.537,0.36,-0.027,-0.491,1.396,4,0.97,1.0,"AA"
"ESO 590 13",274.04644,-18.26662,"nan","nan","nan","UCC G012.7-00.7",29,5.4,274.09,-18.203,0.314,-0.935,-2.63,39.441,3,0.34,0.65,"CB"
"HSC 161",273.51324,-17.98918,0.392,-1.177,-3.1,"UCC G012.7-00.1",73,4.7,273.506,-18.021,0.384,-1.191,-3.115,-2.774,8,0.7,0.79,"BA"
"Collinder 469;OCL 35;MWSC 2865",274.143,-18.309,0.399,0.089,-1.679,"UCC G012.7-00.8",131,4.0,274.139,-18.308,0.398,0.091,-1.681,3.197,6,0.85,0.92,"AA"
"Messineo 1;Cl 1813-18;SAI 126",273.34899,-17.89497,"nan","nan","nan","UCC G012.7+00.0",101,2.9,273.345,-17.891,0.325,-0.715,-1.983,16.971,6,1.0,0.7,"AB"
"Ryu 204",275.21125,-18.74611,"nan","nan","nan","UCC G012.8-01.9",0,1.1,275.219,-18.744,0.384,-1.781,-3.543,"nan",0,0.17,0.22,"DD"
"CWWDL 1701",273.9771,-18.11,0.358,-0.013,-1.218,"UCC G012.8-00.6",231,4.0,273.981,-18.1,0.358,-0.002,-1.21,5.729,6,0.99,0.92,"AA"
"FoF 1218",273.976,-18.099,0.365,-0.034,-1.161,"UCC G012.8-00.6a",275,4.3,273.978,-18.099,0.363,-0.006,-1.195,7.566,9,0.94,0.88,"AA"
"Ryu 695",271.98614,-17.04235,"nan","nan","nan","UCC G012.8+01.5",0,1.7,271.981,-17.037,0.326,-1.081,-1.741,-28.106,1,0.24,0.32,"DC"
"NGC 6603;Melotte 197;Collinder 374;OCL 36;FSR 0045;MWSC 2883",274.616,-18.409,0.324,0.119,-2.042,"UCC G012.8-01.3",924,2.9,274.614,-18.411,0.321,0.144,-2.059,18.339,36,1.0,1.0,"AA"
"Ryu 697",273.66853,-17.90118,"nan","nan","nan","UCC G012.8-00.2",0,1.2,273.661,-17.904,0.401,-0.883,-2.152,"nan",0,0.29,0.35,"CC"
"OC 0022",274.62493,-18.3902,0.523,-0.02,-1.935,"UCC G012.8-01.3a",25,2.4,274.631,-18.392,0.515,-0.011,-1.992,"nan",0,0.08,0.7,"DB"
"HSC 162",270.53815,-16.23086,0.671,1.577,-0.318,"UCC G012.8+03.1",25,9.1,270.544,-16.211,0.671,1.575,-0.308,-13.746,3,0.96,0.65,"AB"
"BDSB 114",273.663,-17.881,"nan","nan","nan","UCC G012.8-00.2a",0,2.5,273.664,-17.89,0.443,0.081,-1.918,"nan",0,0.34,0.34,"CC"
"UBC 1011",274.1035,-18.10309,0.345,-1.107,-2.637,"UCC G012.8-00.7",183,4.6,274.106,-18.119,0.352,-1.116,-2.639,8.854,21,0.99,1.0,"AA"
"HSC 157",275.22861,-18.67376,6.267,-13.206,-26.86,"UCC G012.9-01.9",0,81.1,275.283,-18.603,6.124,-12.862,-25.334,-16.867,4,1.0,0.11,"AD"
"HSC 164",284.60021,-22.99487,0.253,-1.537,-3.022,"UCC G012.9-11.7",45,12.0,284.605,-22.96,0.223,-1.358,-2.803,29.469,5,0.29,0.52,"CB"
"Ryu 698",275.51371,-18.73994,"nan","nan","nan","UCC G012.9-02.2",34,1.7,275.513,-18.741,0.115,-3.388,-6.56,51.727,1,0.88,0.33,"AC"
"Ryu 205",269.82114,-15.73732,"nan","nan","nan","UCC G012.9+03.9",0,1.2,269.811,-15.732,0.172,-3.186,-5.741,28.776,1,0.24,0.25,"DD"
"HSC 166",278.64102,-20.2413,0.131,-0.786,-5.72,"UCC G012.9-05.5",0,2.4,278.643,-20.248,0.131,-0.871,-5.655,50.323,4,0.2,0.43,"DC"
"Ryu 699",275.60812,-18.74211,"nan","nan","nan","UCC G013.0-02.3",0,1.0,275.612,-18.743,0.127,-3.433,-6.617,-17.105,2,0.59,0.28,"BC"
"Ryu 206",275.96798,-18.91088,"nan","nan","nan","UCC G013.0-02.6",0,1.4,275.959,-18.91,0.196,-3.84,-7.389,181.74,1,0.1,0.26,"DC"
"Teutsch 260",272.80224,-17.11914,"nan","nan","nan","UCC G013.1+00.8",10,6.1,272.763,-17.139,0.435,-0.831,-2.56,8.657,5,0.16,0.5,"DC"
"BDSB 115",273.521,-17.47,"nan","nan","nan","UCC G013.1+00.0",86,9.9,273.548,-17.528,0.464,-1.105,-3.397,1.056,7,0.12,0.48,"DC"
"FoF 2113",274.7047,-18.0779,0.475,-0.309,-1.976,"UCC G013.1-01.2",13,4.5,274.745,-18.08,0.457,-0.283,-2.042,-25.781,1,0.4,0.68,"CB"
"Ryu 207",270.47725,-15.81987,"nan","nan","nan","UCC G013.2+03.4",35,1.7,270.478,-15.815,0.114,-3.384,-6.743,"nan",0,0.42,0.4,"CC"
"Ryu 208",269.26957,-15.13554,"nan","nan","nan","UCC G013.2+04.7",33,2.7,269.265,-15.137,0.069,-2.76,-6.031,77.041,5,0.8,0.46,"AC"
"MWSC 4484",290.58103,-25.01364,"nan","nan","nan","UCC G013.2-17.5",113,8.7,290.565,-25.009,0.199,-3.297,-6.252,-7.491,3,0.82,0.47,"AC"
"Ryu 700",276.51224,-18.87689,"nan","nan","nan","UCC G013.2-03.1",0,0.9,276.511,-18.881,0.124,-2.919,-5.428,"nan",0,0.15,0.2,"DD"
"Ryu 701",278.87416,-19.96838,"nan","nan","nan","UCC G013.3-05.6",57,1.7,278.883,-19.969,0.131,-2.401,-4.617,4.297,4,0.44,0.34,"CC"
"FSR 0046",273.577,-17.325,"nan","nan","nan","UCC G013.3+00.0",63,5.6,273.622,-17.34,0.341,0.448,-1.336,20.297,8,0.84,0.54,"AB"
"Ryu 702",275.15827,-18.09636,"nan","nan","nan","UCC G013.3-01.6",34,2.6,275.15,-18.1,0.233,-1.732,-4.664,-28.539,1,0.32,0.49,"CC"
"OCSN 4",272.15,-16.51,2.08,0.02,-3.93,"UCC G013.4+01.6",13,33.5,271.965,-16.999,2.095,0.025,-3.959,-6.293,9,0.95,0.5,"AB"
"Gulliver 15",272.599,-16.723,0.506,-1.06,-1.638,"UCC G013.4+01.1",185,6.5,272.597,-16.716,0.521,-1.027,-1.645,-13.388,2,0.93,0.83,"AA"
"NGC 6561",272.659,-16.74,0.655,-0.002,-0.754,"UCC G013.4+01.1a",176,5.9,272.655,-16.735,0.664,-0.008,-0.769,-11.149,15,1.0,0.77,"AA"
"Ryu 703",272.96764,-16.72694,"nan","nan","nan","UCC G013.5+00.8",57,3.4,272.962,-16.737,0.466,-0.43,-2.796,20.477,4,0.34,0.3,"CC"
"Ryu 704",274.51883,-17.47529,"nan","nan","nan","UCC G013.6-00.7",27,2.3,274.511,-17.475,0.369,-0.514,-2.11,-19.802,2,0.41,0.4,"CC"
"Ryu 705",271.74787,-16.01219,"nan","nan","nan","UCC G013.6+02.2",48,1.8,271.743,-16.016,0.107,-3.343,-6.617,"nan",0,0.85,0.34,"AC"
"HSC 171",288.65155,-23.86749,2.575,-3.755,-15.747,"UCC G013.6-15.4",0,29.1,288.697,-23.902,2.586,-3.219,-15.354,-19.221,3,0.16,0.23,"DD"
"CWWDL 13474",275.2057,-17.785,0.496,-0.174,-2.055,"UCC G013.6-01.5",0,3.1,275.21,-17.797,0.494,-0.161,-2.049,"nan",0,0.49,0.53,"CB"
"Ryu 706",277.15243,-18.73142,"nan","nan","nan","UCC G013.7-03.5",34,2.8,277.167,-18.728,0.25,-1.258,-4.099,-8.635,2,0.28,0.48,"CC"
"Melotte 204;IC 4725;M 25;Collinder 382;OCL 38;ESO 591 06;MWSC 2940",277.937,-19.114,1.514,-1.688,-6.117,"UCC G013.7-04.4",525,16.2,277.95,-19.122,1.513,-1.689,-6.143,2.915,204,1.0,1.0,"AA"
"OC 0023",273.76035,-17.01392,0.339,1.213,-1.052,"UCC G013.7+00.0",263,3.0,273.763,-17.013,0.354,1.198,-1.05,14.226,15,1.0,0.6,"AB"
"HSC 172",259.23106,-8.73995,0.117,-1.995,-5.986,"UCC G013.7+16.4",0,2.9,259.242,-8.742,0.143,-1.834,-5.867,"nan",0,0.38,0.26,"CC"
"CWWDL 1705",273.7595,-17.0106,0.389,1.193,-1.066,"UCC G013.7+00.0a",267,2.9,273.763,-17.013,0.355,1.198,-1.052,14.226,15,1.0,0.61,"AB"
"Ryu 209",269.56499,-14.73618,"nan","nan","nan","UCC G013.7+04.7",32,2.1,269.568,-14.743,0.118,-2.351,-5.221,36.937,5,0.42,0.24,"CD"
"Ryu 12",271.24068,-15.61427,"nan","nan","nan","UCC G013.7+02.8",39,1.9,271.242,-15.602,0.168,-2.814,-6.043,-0.675,1,0.47,0.39,"CC"
"HSC 174",275.0544,-17.53999,0.493,0.051,-1.599,"UCC G013.8-01.2",24,0.8,275.056,-17.539,0.493,0.039,-1.619,-143.142,1,0.81,0.98,"AA"
"HSC 175",273.09184,-16.48882,0.602,0.848,-1.936,"UCC G013.8+00.8",31,6.9,273.056,-16.556,0.597,0.917,-1.927,"nan",0,0.29,0.77,"CA"
"BDSB 116",273.657,-16.757,"nan","nan","nan","UCC G013.8+00.2",0,2.1,273.663,-16.752,0.419,-1.35,-3.49,-29.003,2,0.33,0.26,"CC"
"OC 0024",274.17614,-17.00479,0.585,0.809,-1.897,"UCC G013.8-00.2",67,6.5,274.17,-17.0,0.582,0.828,-1.864,-33.477,2,0.84,0.68,"AB"
"OC 0025",273.14106,-16.4337,0.528,0.541,0.456,"UCC G013.9+00.8",79,6.1,273.145,-16.406,0.521,0.564,0.473,12.096,4,0.9,0.7,"AB"
"CWNU 303",275.3618,-17.5585,0.53,0.53,-1.85,"UCC G013.9-01.5",0,4.6,275.359,-17.55,0.53,0.512,-1.843,"nan",0,0.86,0.65,"AB"
"Ryu 707",273.52339,-16.60763,"nan","nan","nan","UCC G013.9+00.4",34,1.6,273.524,-16.601,0.38,-0.996,-2.438,"nan",0,0.28,0.3,"CC"
"HSC 170",299.93182,-27.46419,3.454,2.383,-14.642,"UCC G013.9-26.2",62,96.6,299.836,-27.181,3.395,2.031,-14.519,-13.94,12,0.14,0.52,"DB"
"CWNU 2551",273.52794,-16.57244,0.351,-0.18,-1.661,"UCC G013.9+00.4a",41,7.9,273.535,-16.568,0.331,-0.166,-1.682,11.492,4,0.92,0.71,"AB"
"CWNU 484",275.3736,-17.4841,0.58,0.36,-1.8,"UCC G014.0-01.5",0,7.5,275.3,-17.46,0.552,0.378,-1.816,"nan",0,0.62,0.66,"BB"
"Ryu 210",274.32534,-16.93277,"nan","nan","nan","UCC G014.0-00.3",85,2.8,274.309,-16.924,0.56,0.155,-1.895,27.419,3,0.97,0.41,"AC"
"FSR 0047",274.74478,-17.13715,"nan","nan","nan","UCC G014.0-00.8",1742,10.0,274.809,-17.191,0.323,-0.709,-2.456,15.897,55,1.0,0.57,"AB"
"Ryu 708",273.34021,-16.38661,"nan","nan","nan","UCC G014.0+00.7",0,1.5,273.332,-16.389,0.425,-0.611,-1.712,63.843,2,0.43,0.29,"CC"
"Ryu 709",276.41763,-17.95011,"nan","nan","nan","UCC G014.0-02.6",59,1.9,276.419,-17.955,0.156,-3.268,-6.872,46.383,6,0.72,0.44,"BC"
"Ruprecht 146;OCL 39;ESO 592 04;MWSC 3012",283.11892,-21.0841,"nan","nan","nan","UCC G014.0-09.6",37,6.0,283.118,-21.057,0.242,-0.37,-2.715,5.006,6,0.33,0.47,"CC"
"Ryu 710",272.10169,-15.58398,"nan","nan","nan","UCC G014.1+02.1",57,3.4,272.098,-15.603,0.197,-3.371,-5.597,-10.821,5,0.53,0.46,"BC"
"NGC 6613;M 18;Collinder 376;OCL 40;MWSC 2892",274.989,-17.089,0.64,-0.508,-0.917,"UCC G014.1-01.0",146,8.7,274.999,-17.107,0.627,-0.482,-0.876,-38.653,8,1.0,0.92,"AA"
"Dzeta Scul",0.42,-30.217,"nan","nan","nan","UCC G014.1-78.6",0,7.6,0.388,-30.206,4.184,18.252,2.285,6.794,10,1.0,1.0,"AA"
"ASCC 97;Alessi 40;MWSC 2963",279.263,-19.139,1.74,-2.331,-6.508,"UCC G014.2-05.5",183,21.7,279.306,-19.15,1.739,-2.417,-6.422,-3.864,71,1.0,0.9,"AA"
"HSC 176",274.05273,-16.53805,0.564,-0.52,-0.893,"UCC G014.2+00.0",65,8.8,274.039,-16.588,0.567,-0.54,-0.965,-26.919,3,0.9,0.59,"AB"
"UBC 1012",273.03379,-15.98298,0.394,0.36,-0.692,"UCC G014.2+01.1",25,1.9,273.026,-15.979,0.4,0.338,-0.664,1.784,7,0.6,1.0,"BA"
"NGC 6596",274.3875,-16.65,"nan","nan","nan","UCC G014.3-00.2",39,3.1,274.379,-16.636,0.529,0.087,-1.605,-32.9,4,0.39,0.54,"CB"
"CWNU 2798",273.99767,-16.44716,0.339,-0.793,-2.527,"UCC G014.3+00.1",58,5.9,274.015,-16.485,0.319,-0.786,-2.58,1.256,8,0.98,0.72,"AB"
"Ryu 211",272.88564,-15.85138,"nan","nan","nan","UCC G014.3+01.3",61,1.7,272.885,-15.85,0.085,-3.087,-5.745,-91.953,2,0.88,0.32,"AC"
"CWNU 2723",276.38335,-17.6489,0.735,-0.556,-2.364,"UCC G014.3-02.4",23,7.8,276.379,-17.64,0.735,-0.602,-2.371,4.784,4,0.66,0.74,"BB"
"UBC 96",273.777,-16.314,0.616,0.653,0.912,"UCC G014.3+00.3",117,10.6,273.802,-16.328,0.609,0.681,0.921,-8.076,11,1.0,0.74,"AB"
"HSC 177",286.82659,-22.37657,0.144,-0.043,-7.705,"UCC G014.3-13.3",82,6.7,286.854,-22.381,0.151,-0.099,-7.652,-4.946,7,0.41,0.36,"CC"
"CWNU 2083",274.18453,-16.4395,0.405,-0.201,-0.825,"UCC G014.4+00.0",21,7.3,274.163,-16.433,0.402,-0.19,-0.826,6.599,4,0.34,0.59,"CB"
"CWNU 1675",273.78255,-16.12933,0.57,0.383,-1.785,"UCC G014.4+00.4",0,3.4,273.781,-16.13,0.571,0.368,-1.785,68.81,1,0.38,0.6,"CB"
"CWNU 477",273.01596,-15.69912,0.653,1.08,-1.495,"UCC G014.5+01.3",34,4.4,273.007,-15.698,0.668,1.121,-1.438,-12.467,1,0.76,0.7,"AB"
"Ryu 212",274.22417,-16.31229,"nan","nan","nan","UCC G014.5+00.0",50,1.9,274.23,-16.313,0.352,-0.345,-1.722,-14.274,4,0.12,0.33,"DC"
"Ryu 213",278.91357,-18.61378,"nan","nan","nan","UCC G014.5-05.0",51,2.9,278.927,-18.595,0.214,-2.793,-4.63,-10.162,3,0.2,0.51,"DB"
"HSC 178",274.4159,-16.35895,0.333,-0.531,-1.018,"UCC G014.5-00.1",137,2.5,274.407,-16.364,0.324,-0.539,-1.035,41.029,7,0.97,0.67,"AB"
"CWWDL 1713",274.4152,-16.3571,0.313,-0.527,-1.019,"UCC G014.5-00.1a",134,2.4,274.408,-16.365,0.32,-0.54,-1.034,41.029,7,0.98,0.71,"AB"
"Ryu 713",273.39832,-15.82481,"nan","nan","nan","UCC G014.5+00.9",77,2.8,273.397,-15.812,0.307,-1.291,-3.048,26.75,5,0.36,0.45,"CC"
"HSC 179",272.34371,-15.24976,0.116,-3.458,-6.606,"UCC G014.5+02.1",98,5.7,272.361,-15.26,0.096,-3.471,-6.585,91.982,4,0.97,0.58,"AB"
"Ryu 714",270.20514,-14.06783,"nan","nan","nan","UCC G014.6+04.4",175,3.6,270.194,-14.067,0.11,-3.207,-5.822,29.566,4,0.92,0.38,"AC"
"OC 0026",274.92872,-16.53854,0.561,0.134,-1.727,"UCC G014.6-00.6",26,3.5,274.945,-16.517,0.559,0.149,-1.725,19.141,2,0.69,1.0,"BA"
"Ryu 717",271.56353,-14.74747,"nan","nan","nan","UCC G014.6+03.0",39,2.1,271.561,-14.736,0.4,0.129,-2.468,-5.46,1,0.26,0.24,"CD"
"UPK 7",276.781,-17.401,1.26,-0.294,-5.865,"UCC G014.7-02.6",58,13.5,276.796,-17.33,1.249,-0.347,-5.801,-6.315,24,0.96,0.69,"AB"
"Kronberger 50",274.02669,-15.94827,"nan","nan","nan","UCC G014.7+00.3",8,4.6,274.061,-15.938,0.32,-1.822,-4.176,5.714,2,0.2,0.46,"DC"
"CWWDL 14677",0.9526,-30.002,4.222,18.721,2.61,"UCC G014.7-79.1",502,101.5,1.05,-30.012,4.224,18.708,2.609,5.513,127,1.0,1.0,"AA"
"HXHWL 66",273.11363,-15.38126,0.595,-0.235,-1.729,"UCC G014.8+01.3",40,7.1,273.11,-15.379,0.585,-0.243,-1.752,2.205,4,0.88,0.92,"AA"
"CWWDL 13990",273.1233,-15.3679,0.589,-0.213,-1.814,"UCC G014.8+01.3a",36,6.7,273.113,-15.379,0.586,-0.243,-1.752,2.205,4,0.81,0.91,"AA"
"CWWDL 970",276.46,-17.0786,0.496,-0.228,-1.538,"UCC G014.8-02.2",160,6.1,276.465,-17.071,0.487,-0.223,-1.565,-14.982,3,1.0,1.0,"AA"
"UBC 341",276.464,-17.076,0.478,-0.22,-1.487,"UCC G014.8-02.2a",77,7.7,276.49,-17.078,0.495,-0.228,-1.567,-44.651,2,0.98,1.0,"AA"
"Dolidze 52a;Teutsch 265;Teutsch J1825.8-1704",276.47403,-17.07731,0.477,-0.214,-1.549,"UCC G014.8-02.2b",159,6.2,276.468,-17.072,0.486,-0.223,-1.565,-14.982,3,1.0,0.97,"AA"
"Collinder 394;OCL 42;ESO 592 03;MWSC 3011",283.092,-20.229,1.388,-1.459,-5.882,"UCC G014.8-09.2",264,13.9,283.069,-20.256,1.368,-1.489,-5.897,8.608,90,1.0,1.0,"AA"
"UBC 1013",273.13,-15.33,0.58,-0.24,-1.76,"UCC G014.8+01.4",61,10.2,273.113,-15.379,0.585,-0.246,-1.744,2.205,6,1.0,0.95,"AA"
"Ryu 214",274.07421,-15.77972,"nan","nan","nan","UCC G014.9+00.3",74,2.4,274.084,-15.781,0.274,-0.475,-2.555,29.342,1,0.52,0.55,"BB"
"Ryu 719",272.43856,-14.85029,"nan","nan","nan","UCC G014.9+02.2",0,1.4,272.445,-14.85,0.199,-1.75,-3.967,"nan",0,0.54,0.25,"BC"
"Dolidze 52",275.983,-16.64,"nan","nan","nan","UCC G015.0-01.6",0,3.1,276.02,-16.651,0.294,-1.375,-3.335,17.948,1,0.39,0.35,"CC"
"CWNU 1185",283.3693,-20.1438,1.539,-1.582,-5.981,"UCC G015.0-09.4",30,10.4,283.37,-20.148,1.411,-1.573,-5.985,6.305,7,0.4,0.73,"CB"
"HSC 180",288.12145,-22.18091,4.473,1.493,-14.681,"UCC G015.0-14.3",32,80.6,288.155,-22.251,4.451,1.47,-13.899,-20.896,10,0.13,0.43,"DC"
"Blanco 1;zeta Scl;OCL 43;ESO 409 09;MWSC 7",0.853,-29.958,4.21,18.739,2.602,"UCC G015.0-79.0",547,105.1,1.07,-29.988,4.221,18.715,2.594,5.464,137,1.0,1.0,"AA"
"ESO 525 08;MWSC 3125",291.82119,-23.59,"nan","nan","nan","UCC G015.1-18.0",62,6.5,291.79,-23.583,0.206,-1.817,-4.875,-10.984,3,0.53,0.41,"BC"
"NGC 6618",275.12728,-16.07749,1.635,1.757,-5.381,"UCC G015.1-00.6",0,15.4,275.066,-15.963,1.619,1.81,-5.255,-16.714,5,0.24,0.33,"DC"
"Ryu 215",276.73055,-16.84314,"nan","nan","nan","UCC G015.1-02.3",45,2.0,276.729,-16.841,0.289,-0.94,-1.936,-10.387,3,0.56,0.4,"BC"
"Ryu 724",271.65242,-14.2013,"nan","nan","nan","UCC G015.1+03.2",0,1.6,271.64,-14.206,0.05,-2.296,-5.321,144.228,1,0.91,0.24,"AD"
"CWNU 230",270.1291,-13.3692,0.989,1.494,-0.778,"UCC G015.1+04.8",30,10.6,270.098,-13.331,0.991,1.481,-0.74,-2.529,4,0.52,0.59,"BB"
"Ryu 725",278.84317,-17.86396,"nan","nan","nan","UCC G015.2-04.6",0,0.8,278.839,-17.863,0.148,-2.852,-5.257,80.908,1,0.2,0.21,"DD"
"NGC 6647",277.868,-17.34,"nan","nan","nan","UCC G015.2-03.5",87,7.9,277.854,-17.351,0.114,-3.714,-6.58,70.097,10,0.86,0.7,"AB"
"HSC 181",277.27274,-17.03748,1.64,-2.691,-6.234,"UCC G015.2-02.9",33,14.2,277.273,-17.053,1.658,-2.65,-6.223,0.487,6,0.45,0.7,"CB"
"LISC 3356",274.773,-15.743,0.728,-0.793,-1.16,"UCC G015.2-00.1",105,7.6,274.787,-15.751,0.72,-0.868,-1.205,-27.241,7,1.0,0.75,"AB"
"CWWDL 14165",274.7883,-15.7286,0.724,-0.828,-1.212,"UCC G015.3-00.1",107,7.6,274.79,-15.751,0.721,-0.864,-1.2,-27.241,7,1.0,0.74,"AB"
"UBC 97",274.782,-15.722,0.736,-0.872,-1.161,"UCC G015.3-00.1a",107,8.6,274.785,-15.747,0.721,-0.868,-1.207,-27.241,7,1.0,0.91,"AA"
"ASCC 92;Alessi 31;MWSC 2723",267.698,-11.853,1.477,-1.164,-4.122,"UCC G015.3+07.7",192,16.6,267.719,-11.827,1.477,-1.151,-4.172,3.011,58,1.0,0.81,"AA"
"UPK 12",288.805,-22.143,1.541,0.579,-6.68,"UCC G015.3-14.9",113,21.0,288.885,-22.128,1.511,0.614,-6.679,3.397,36,1.0,0.81,"AA"
"UBC 98",288.83211,-22.14031,1.534,0.561,-6.664,"UCC G015.3-14.9a",77,21.3,288.906,-22.114,1.509,0.607,-6.679,4.416,34,0.89,1.0,"AA"
