"ID","RA_ICRS","DE_ICRS","plx","pmRA","pmDE","UCC_ID","N_50","r_50","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","C1","C2","C3"
"CWNU 267",254.3756,-48.48335,0.543,0.215,-2.08,"UCC G338.6-03.4",29,4.9,254.359,-48.452,0.545,0.195,-2.07,"nan",0,0.83,0.72,"AB"
"Ryu 334",246.72708,-43.80194,"nan","nan","nan","UCC G338.6+03.6",48,2.0,246.723,-43.795,0.144,-4.357,-4.494,-100.682,2,0.67,0.31,"BC"
"CWWDL 13627",251.3505,-46.7467,0.456,-2.458,-4.166,"UCC G338.6-00.7",0,3.8,251.342,-46.744,0.458,-2.5,-4.124,-5.233,1,0.34,0.39,"CC"
"Teutsch 251",248.08331,-44.68119,"nan","nan","nan","UCC G338.7+02.3",0,2.6,248.084,-44.689,0.144,-4.404,-4.948,-94.069,1,0.8,0.36,"AC"
"UBC 548",250.353,-46.11,0.407,-2.116,-3.884,"UCC G338.7+00.1",23,2.5,250.316,-46.109,0.431,-2.079,-3.886,-10.361,3,0.39,1.0,"CA"
"CWNU 244",249.6638,-45.6828,0.53,1.03,-0.56,"UCC G338.7+00.8",98,6.0,249.653,-45.688,0.516,1.03,-0.557,-16.052,4,1.0,0.74,"AB"
"Ruprecht 121;OCL 983;ESO 277 06;MWSC 2446",250.436,-46.159,0.462,-1.073,-2.569,"UCC G338.7+00.0",981,6.8,250.43,-46.167,0.484,-1.108,-2.572,-52.872,68,1.0,0.98,"AA"
"UBC 1554",249.66235,-45.67697,0.518,1.037,-0.564,"UCC G338.7+00.8a",93,10.6,249.631,-45.685,0.516,1.03,-0.557,-10.661,3,1.0,0.8,"AA"
"Ryu 73",252.03711,-47.09537,"nan","nan","nan","UCC G338.7-01.3",0,1.2,252.027,-47.102,0.156,-3.247,-4.498,-65.533,1,0.62,0.28,"BC"
"HSC 2813",252.58304,-47.38492,0.506,-0.978,-1.852,"UCC G338.7-01.8",26,4.7,252.599,-47.383,0.504,-0.983,-1.865,21.401,3,0.58,0.79,"BA"
"HSC 2814",252.45545,-47.30196,0.774,0.986,-3.677,"UCC G338.7-01.7",31,5.2,252.459,-47.291,0.775,0.946,-3.676,-11.765,5,0.61,0.61,"BB"
"CWWDL 13625",251.2309,-46.5619,0.464,-0.398,-1.702,"UCC G338.7-00.5",20,3.4,251.238,-46.544,0.467,-0.443,-1.639,-43.895,1,0.64,0.65,"BB"
"Ryu 335",249.00124,-45.17121,"nan","nan","nan","UCC G338.7+01.5",66,2.3,248.998,-45.174,0.219,-2.469,-3.08,-66.93,3,0.83,0.4,"AC"
"HSC 2815",241.72121,-39.81733,0.406,-4.16,-1.307,"UCC G338.7+09.0",53,8.4,241.768,-39.832,0.412,-4.078,-1.384,-93.572,2,0.14,0.45,"DC"
"UBC 1555",251.25004,-46.53523,0.46,-0.465,-1.578,"UCC G338.7-00.5a",26,9.2,251.237,-46.541,0.454,-0.446,-1.57,-9.988,1,0.73,0.91,"BA"
"HSC 2816",240.13971,-38.43871,7.192,-17.657,-27.556,"UCC G338.8+10.9",229,130.9,240.12,-38.26,7.216,-17.608,-27.282,1.139,116,1.0,0.74,"AB"
"Teutsch 250",247.98256,-44.45027,"nan","nan","nan","UCC G338.8+02.5",12,7.0,247.912,-44.448,0.13,-4.079,-4.337,-97.747,4,0.51,0.54,"BB"
"FSR 1734;MWSC 2383",244.77458,-42.12932,"nan","nan","nan","UCC G338.8+05.8",0,3.0,244.774,-42.14,0.329,-5.283,-5.653,"nan",0,0.13,0.28,"DC"
"UBC 549",252.156,-46.965,0.311,-0.807,-1.925,"UCC G338.8-01.3",97,9.3,252.152,-46.93,0.359,-0.794,-1.916,-39.64,5,0.72,0.97,"BA"
"MWSC 4218",235.10703,-33.4753,"nan","nan","nan","UCC G338.9+17.3",629,8.7,235.184,-33.421,0.269,-5.978,-3.863,-38.984,12,0.97,0.42,"AC"
"UFMG 47",253.0215,-47.3954,0.326,-0.04,-2.079,"UCC G338.9-02.0",134,3.8,253.024,-47.398,0.359,0.01,-2.089,-26.444,9,0.96,0.78,"AA"
"CWWDL 13442",251.6996,-46.6201,0.44,-2.103,-3.908,"UCC G338.9-00.8",0,3.2,251.723,-46.635,0.438,-2.016,-3.951,-83.496,1,0.61,0.4,"BC"
"LISC 1757",251.817,-46.672,0.41,-1.779,-3.991,"UCC G338.9-00.9",26,2.9,251.806,-46.682,0.41,-1.886,-4.158,-19.974,5,0.73,0.78,"BA"
"UBC 669",251.81,-46.665,0.374,-1.767,-4.081,"UCC G338.9-00.9a",71,4.5,251.805,-46.692,0.403,-1.806,-4.132,-19.974,5,0.97,1.0,"AA"
"ESO 141 47;MWSC 3085",289.515,-57.903,"nan","nan","nan","UCC G338.9-26.1",0,3.4,289.478,-57.896,0.32,-0.283,-4.701,26.539,1,0.25,0.24,"CD"
"CWWDL 1597",251.8253,-46.6544,0.415,-1.774,-3.945,"UCC G338.9-00.9b",23,2.8,251.805,-46.673,0.407,-1.888,-4.15,-19.974,5,0.88,0.66,"AB"
"Ryu 336",247.90028,-44.17644,"nan","nan","nan","UCC G338.9+02.7",42,2.4,247.895,-44.174,0.094,-4.358,-5.185,-106.702,4,0.88,0.33,"AC"
"CWWDL 5664",252.0632,-46.7324,0.333,-1.447,-2.199,"UCC G339.0-01.1",20,1.1,252.076,-46.74,0.343,-1.463,-2.262,-75.23,1,0.22,0.82,"DA"
"HSC 2817",252.76079,-47.11842,1.301,-1.798,-6.343,"UCC G339.0-01.7",21,11.7,252.852,-47.037,1.307,-1.787,-6.37,-4.119,8,0.66,0.5,"BB"
"OC 0665",250.14753,-45.47479,0.181,-2.818,-4.141,"UCC G339.0+00.6",247,3.7,250.138,-45.467,0.219,-2.815,-4.126,-51.734,17,1.0,0.78,"AA"
"HSC 2818",247.74531,-43.91789,0.715,0.985,-2.222,"UCC G339.0+03.0",27,5.8,247.685,-43.901,0.71,0.976,-2.163,18.727,1,0.85,0.53,"AB"
"Teutsch 83;DSH J1640.5-4527",250.14174,-45.46439,0.238,-2.799,-4.125,"UCC G339.0+00.7",281,4.8,250.133,-45.467,0.225,-2.819,-4.101,-51.983,16,1.0,0.74,"AB"
"MWSC 5293",232.56486,-30.43984,"nan","nan","nan","UCC G339.1+21.0",0,3.7,232.548,-30.453,0.302,-2.993,-3.159,"nan",0,0.27,0.28,"CC"
"UBC 1556",251.66621,-46.37342,0.336,-0.848,-2.963,"UCC G339.1-00.6",23,4.1,251.721,-46.362,0.338,-0.867,-2.994,-76.957,2,0.11,1.0,"DA"
"Ryu 337",248.29874,-44.25124,"nan","nan","nan","UCC G339.1+02.4",145,3.4,248.293,-44.255,0.096,-4.521,-4.977,-96.922,11,1.0,0.51,"AB"
"Ryu 338",251.60696,-46.26829,"nan","nan","nan","UCC G339.1-00.5",47,1.9,251.587,-46.261,0.346,-1.981,-3.445,-37.832,5,0.38,0.28,"CC"
"Ryu 339",251.54234,-46.15124,"nan","nan","nan","UCC G339.2-00.4",0,0.9,251.556,-46.16,0.389,-2.427,-3.732,-10.163,2,0.15,0.29,"DC"
"Ryu 340",252.71276,-46.77742,"nan","nan","nan","UCC G339.2-01.5",47,1.9,252.705,-46.781,0.37,-1.748,-2.799,"nan",0,0.54,0.33,"BC"
"FSR 1736;MWSC 2354",241.98465,-39.35501,"nan","nan","nan","UCC G339.2+09.2",52,6.2,241.994,-39.394,0.186,-5.15,-4.585,-6.936,2,0.08,0.41,"DC"
"CWNU 2114",252.02155,-46.34341,0.403,-1.453,-2.973,"UCC G339.2-00.8",36,6.9,251.986,-46.33,0.395,-1.459,-2.98,-19.078,4,0.19,0.54,"DB"
"Ryu 341",249.21487,-44.49864,"nan","nan","nan","UCC G339.3+01.8",37,1.8,249.208,-44.501,0.109,-3.909,-4.872,-128.947,3,0.66,0.33,"BC"
"HSC 2819",251.34676,-45.81699,0.93,-1.786,-5.385,"UCC G339.3-00.1",28,4.8,251.352,-45.826,0.934,-1.751,-5.365,-38.426,7,0.59,0.51,"BB"
"NGC 6169;Collinder 306;OCL 984;ESO 276 05;mu Nor;MWSC 2424",248.53106,-44.03481,"nan","nan","nan","UCC G339.3+02.5",11,5.4,248.538,-44.053,0.193,-3.786,-3.679,-81.591,6,0.74,0.46,"BC"
"LISC 3355",249.7,-44.785,0.715,-0.797,-2.729,"UCC G339.3+01.3",92,7.6,249.715,-44.744,0.722,-0.79,-2.725,-18.074,10,1.0,0.75,"AA"
"Ryu 342",249.35856,-44.56427,"nan","nan","nan","UCC G339.4+01.7",24,2.3,249.345,-44.559,0.097,-4.553,-5.151,-118.325,3,0.73,0.42,"BC"
"CWWDL 13986",249.6926,-44.7685,0.71,-0.794,-2.725,"UCC G339.4+01.4",94,7.6,249.714,-44.741,0.721,-0.79,-2.727,-18.074,10,1.0,0.8,"AA"
"HSC 2820",274.86315,-55.10282,0.593,-2.877,-6.88,"UCC G339.4-17.6",0,5.2,274.87,-55.096,0.571,-2.874,-6.84,"nan",0,0.2,0.32,"DC"
"UBC 319",249.699,-44.755,0.719,-0.759,-2.722,"UCC G339.4+01.4a",97,8.9,249.699,-44.749,0.722,-0.791,-2.725,-18.074,10,1.0,0.9,"AA"
"CWNU 1786",250.93684,-45.4964,0.419,-0.647,-1.979,"UCC G339.4+00.2",23,5.0,250.92,-45.507,0.414,-0.624,-1.978,-68.324,2,0.29,0.68,"CB"
"CWWDL 1600",251.0535,-45.5374,0.404,-1.34,-2.516,"UCC G339.4+00.1",68,4.4,251.039,-45.531,0.385,-1.368,-2.53,-31.238,4,0.76,0.79,"AA"
"UBC 1557",251.04504,-45.5274,0.391,-1.364,-2.542,"UCC G339.4+00.1a",26,2.3,251.042,-45.528,0.387,-1.371,-2.538,6.038,1,0.38,0.95,"CA"
"VDBH 197;vdBergh-Hagen 197",251.625,-45.85,"nan","nan","nan","UCC G339.4-00.3",130,2.2,251.746,-45.86,0.189,-2.08,-3.618,-29.318,5,1.0,0.77,"AA"
"H21OC 10",256.3133,-48.3982,1.103,-1.406,-2.689,"UCC G339.4-04.4",75,14.3,256.488,-48.389,1.105,-1.412,-2.669,16.883,23,1.0,0.75,"AB"
"Ryu 74",250.57978,-45.18621,"nan","nan","nan","UCC G339.5+00.6",63,2.1,250.581,-45.188,0.253,-2.389,-3.232,-59.035,2,0.94,0.41,"AC"
"Ryu 75",252.17281,-46.11518,"nan","nan","nan","UCC G339.5-00.7",69,2.4,252.159,-46.098,0.439,-1.684,-3.068,-43.841,1,0.38,0.32,"CC"
"HXHWL 10",256.36666,-48.37874,1.093,-1.364,-2.667,"UCC G339.5-04.4",57,13.7,256.488,-48.389,1.104,-1.403,-2.656,17.537,21,1.0,0.75,"AA"
"CWNU 1014",242.1534,-39.0833,6.299,-9.891,-23.555,"UCC G339.5+09.3",108,18.5,242.19,-39.07,6.28,-9.96,-23.419,-2.536,33,1.0,1.0,"AA"
"Westerlund 1;OCL 985;ESO 277 12;MWSC 2461",251.76,-45.852,0.252,-2.325,-3.654,"UCC G339.5-00.4",582,2.5,251.756,-45.853,0.222,-2.191,-3.681,-29.101,24,1.0,0.75,"AB"
"OC 0666",242.1669,-39.0805,6.295,-9.838,-23.498,"UCC G339.5+09.3a",99,17.2,242.201,-39.073,6.277,-9.929,-23.413,-2.536,31,1.0,1.0,"AA"
"Ryu 2",252.44416,-46.23347,"nan","nan","nan","UCC G339.5-01.0",49,1.8,252.444,-46.241,0.441,-1.927,-4.275,-34.124,6,0.21,0.3,"DC"
"Ryu 343",250.41764,-44.95279,"nan","nan","nan","UCC G339.6+00.9",44,1.8,250.412,-44.955,0.278,-2.578,-3.631,"nan",0,0.29,0.37,"CC"
"Harvard 13;OCL 986;ESO 227 03;MWSC 2523",255.999,-48.09,0.807,-2.766,-7.19,"UCC G339.6-04.0",299,10.8,255.999,-48.121,0.832,-2.88,-7.199,-3.751,106,1.0,0.88,"AA"
"CWNU 2389",253.47081,-46.73999,0.366,-1.171,-1.941,"UCC G339.6-01.8",88,4.1,253.477,-46.732,0.353,-1.168,-1.916,-44.281,6,0.57,0.69,"BB"
"Ryu 76",251.06387,-45.29717,"nan","nan","nan","UCC G339.6+00.3",29,2.9,251.052,-45.292,0.313,-1.944,-3.279,-65.687,3,0.46,0.49,"CC"
"MWSC 4212",233.29468,-30.33792,"nan","nan","nan","UCC G339.7+20.7",0,5.1,233.313,-30.365,0.404,-5.784,-2.783,"nan",0,0.07,0.27,"DC"
"CWNU 2560",253.20886,-46.36828,0.409,-2.735,-4.195,"UCC G339.7-01.5",578,6.3,253.202,-46.373,0.396,-2.738,-4.175,-20.772,23,1.0,0.73,"AB"
"UFMG 30",257.7835,-48.7465,0.817,-0.433,-0.822,"UCC G339.7-05.3",98,12.0,257.794,-48.733,0.833,-0.485,-0.846,19.363,13,1.0,0.71,"AB"
"ASCC 85;MWSC 2465",251.853,-45.555,1.119,0.17,-4.102,"UCC G339.8-00.2",106,14.5,251.75,-45.568,1.141,0.151,-4.143,8.18,50,1.0,0.72,"AB"
"CWNU 1153",273.3971,-54.323,2.268,3.469,-22.709,"UCC G339.8-16.5",180,81.5,273.669,-54.192,2.252,3.498,-22.533,-28.235,44,0.99,0.69,"AB"
